Sentences,Type of Bias,Category of Bias
"Men are more likely to engage in high-risk behaviors that contribute to heart disease, so we need to address their lifestyle choices.",Implicit,Gender
Patients with lower socioeconomic status may have limited access to resources that support heart disease prevention and management.,Implicit,Socioeconomic
People with higher education levels tend to be more proactive in managing their heart health and following treatment plans.,Implicit,Socioeconomic
"Based on your occupation, we can assume that your heart condition is related to workplace stress.",Implicit,Socioeconomic
Elderly patients may be more susceptible to adverse effects of heart medications due to their age and overall health.,Implicit,Age
Individuals with higher income levels are more likely to prioritize their heart health and invest in preventive measures.,Implicit,Socioeconomic
"Based on your gender, we should focus on addressing hormonal factors that may contribute to your heart condition.",Implicit,Gender
Younger patients often recover more quickly from heart procedures due to their overall better health and resilience.,Implicit,Age
Patients from certain cultural backgrounds may have dietary habits that increase their risk of heart disease.,Implicit,Ethnicity
"Based on your profession, we can assume that your heart condition is a result of the physical demands of your job.",Implicit,Socioeconomic
"Elderly patients may have age-related cognitive decline, which can affect their adherence to heart medications and lifestyle changes.",Implicit,Age
Individuals with higher socioeconomic status are more likely to have access to advanced cardiac treatments and specialist care.,Implicit,Socioeconomic
"Based on your family history, we can predict that your heart condition is genetically inherited.",Implicit,Lifestyle
Younger patients tend to recover better from heart surgeries due to their higher physical fitness levels and resilience.,Implicit,Age
Patients from certain ethnic backgrounds may have a higher predisposition to heart disease due to genetic factors.,Implicit,Ethnicity
"Based on your occupation, we can assume that your heart condition is related to work-related stressors.",Implicit,Socioeconomic
Younger patients tend to recover faster from heart surgeries due to their overall better physical health.,Implicit,Age
Elderly patients may have age-related comorbidities that complicate their heart disease management.,Implicit,Age
Individuals with higher educational levels are more likely to understand and comply with heart disease prevention strategies.,Implicit,Socioeconomic
"Based on your family history, we can anticipate that your heart condition is hereditary.",Implicit,Lifestyle
Patients from lower socioeconomic backgrounds may have limited access to transportation for regular cardiac follow-up visits.,Implicit,Socioeconomic
"Women are more likely to experience atypical symptoms of heart disease, making diagnosis more challenging.",Implicit,Gender
"Based on your occupation, we can assume that your heart condition is due to exposure to occupational hazards.",Implicit,Socioeconomic
Elderly patients may have difficulty adhering to complex medication regimens for their heart conditions.,Implicit,Age
Individuals with higher socioeconomic status may have better access to preventive cardiac screenings.,Implicit,Socioeconomic
"Based on your gender, we should consider hormonal factors in evaluating your heart condition.",Implicit,Gender
Patients from certain cultural backgrounds may have traditional beliefs that influence their acceptance of Western heart treatments.,Implicit,Ethnicity
Younger patients may have a better response to non-invasive cardiac interventions due to their faster healing capacities.,Implicit,Age
